Date,Product,Region,Sales,Units,Profit
2024-01-01,Laptop,North,1000,2,200
2024-01-02,Mouse,South,400,20,100
2024-01-03,Keyboard,East,600,10,150
2024-01-04,Monitor,West,1200,4,300
2024-01-05,Laptop,South,1000,2,200
2024-01-06,Headphones,North,300,10,80
2024-01-07,Mouse,East,420,21,105
2024-01-08,Keyboard,West,600,10,150
2024-01-09,Monitor,North,1200,4,300
2024-01-10,Laptop,East,1500,3,300
2024-01-11,Mouse,West,440,22,110
2024-01-12,Headphones,South,330,11,90
2024-01-13,Monitor,East,1200,4,300
2024-01-14,Laptop,West,2000,4,400
2024-01-15,Keyboard,North,600,10,150
